Priority,ALLOW,IP Range,Description
1,ALLOW,199.83.128.0/21,"Incapsula WAF (ALLOW, IPv4)"
2,ALLOW,198.143.32.0/19,"Incapsula WAF (ALLOW, IPv4)"
3,ALLOW,149.126.72.0/21,"Incapsula WAF (ALLOW, IPv4)"
4,ALLOW,103.28.248.0/22,"Incapsula WAF (ALLOW, IPv4)"
5,ALLOW,45.64.64.0/22,"Incapsula WAF (ALLOW, IPv4)"
6,ALLOW,185.11.124.0/22,"Incapsula WAF (ALLOW, IPv4)"
7,ALLOW,192.230.64.0/18,"Incapsula WAF (ALLOW, IPv4)"
8,ALLOW,107.154.0.0/16,"Incapsula WAF (ALLOW, IPv4)"
9,ALLOW,45.60.0.0/16,"Incapsula WAF (ALLOW, IPv4)"
10,ALLOW,45.223.0.0/16,"Incapsula WAF (ALLOW, IPv4)"
11,ALLOW,2a02:e980::/29,"Incapsula WAF (ALLOW, IPv4)"
